Business Date,CCP,Member,Account ID,Account Type,Product Type,Market,Currency,FX Rate,Product Description,Liability Type,Liability
2020-12-04,CME,CSU,250I,Client,IRS,,JPY,0.0096006144,IRS,BaseInitialMargin,-146495008
2020-12-04,CME,CSU,250I,Client,IRS,,MXN,0.0505850157,IRS,BaseInitialMargin,-3271305968.60
2020-12-04,CME,CSU,250I,Client,IRS,,NOK,0.1135911853,IRS,BaseInitialMargin,-1117604.87
2020-12-04,CME,CSU,250I,Client,IRS,,NZD,0.7036307346,IRS,BaseInitialMargin,-1571343.96
2020-12-04,CME,CSU,250I,Client,IRS,,PLN,0.2711790867,IRS,BaseInitialMargin,-17478258.24
2020-12-04,CME,CSU,250I,Client,IRS,,SGD,0.7491197843,IRS,BaseInitialMargin,-137664.45
2020-12-04,CME,CSU,250I,Client,IRS,,USD,1,IRS,BaseInitialMargin,-2326996192.88
2020-12-04,CME,CSU,250I,Client,IRS,,USD,1,IRS,AdditionalInitialMargin,-44985983.32
2020-12-04,CME,CSU,250I,Client,IRS,,ZAR,0.0657431939,IRS,BaseInitialMargin,-139271778.06
2020-12-04,CME,CSU,250I,House,IRS,,MXN,0.0505850157,IRS,BaseInitialMargin,-225658972.15
2020-12-04,CME,CSU,250I,House,IRS,,USD,1,IRS,BaseInitialMargin,-590447454.93
2020-12-04,CME,CSU,250I,House,IRS,,USD,1,IRS,AdditionalInitialMargin,-24470737.91
2020-12-04,CME,CSU,250T,Client,ETD,,USD,1,FXM,BaseInitialMargin,-3276758.56
2020-12-04,CME,CSU,250T,Client,ETD,,USD,1,FXM,AdditionalInitialMargin,-2.49
2020-12-04,CME,CSI,264,House,ETD,,JPY,0.0096006144,EQUITY INDICIES,BaseInitialMargin,-180772500
2020-12-04,CME,CSI,264,House,ETD,,USD,1,AGRICULTURAL,BaseInitialMargin,-55215563.00
2020-12-04,CME,CSI,264,House,ETD,,USD,1,COMEX,BaseInitialMargin,-169056791.00
2020-12-04,CME,CSI,264,House,ETD,,USD,1,EQUITY INDICIES,BaseInitialMargin,-108231383.00
2020-12-04,CME,CSI,264,House,ETD,,USD,1,INTEREST RATE,BaseInitialMargin,-33123345.25
2020-12-04,CME,CSI,264,House,ETD,,USD,1,NYMEX,BaseInitialMargin,-124566832.00
2020-12-04,CME,CSI,264I,House,IRS,,AUD,0.7427764986,IRS,BaseInitialMargin,-2231766.08
2020-12-04,CME,CSI,264I,House,IRS,,CAD,0.7821666015,IRS,BaseInitialMargin,-3125889.68
2020-12-04,CME,CSI,264I,House,IRS,,CHF,1.1214534036,IRS,BaseInitialMargin,-4964517.47
2020-12-04,CME,CSI,264I,House,IRS,,EUR,1.2119743061,IRS,BaseInitialMargin,-8791226.53
2020-12-04,CME,CSI,264I,House,IRS,,GBP,1.3430029546,IRS,BaseInitialMargin,-1615618.49
2020-12-04,CME,CSI,264I,House,IRS,,JPY,0.0096006144,IRS,BaseInitialMargin,-1547438303
2020-12-04,CME,CSI,264I,House,IRS,,MXN,0.0505850157,IRS,BaseInitialMargin,-576426870.50
2020-12-04,CME,CSI,264I,House,IRS,,MXN,0.0505850157,IRS,AdditionalInitialMargin,-20095609.72
2020-12-04,CME,CSI,264I,House,IRS,,NOK,0.1135911853,IRS,BaseInitialMargin,-3440489.62
2020-12-04,CME,CSI,264I,House,IRS,,NZD,0.7036307346,IRS,BaseInitialMargin,-394349.10
2020-12-04,CME,CSI,264I,House,IRS,,SEK,0.1182508337,IRS,BaseInitialMargin,-5164835.78
2020-12-04,CME,CSI,264I,House,IRS,,USD,1,IRS,BaseInitialMargin,-126752008.46
2020-12-04,CME,CSI,264I,House,IRS,,USD,1,IRS,AdditionalInitialMargin,-181298246.43
2020-12-04,CME,CSI,264I,House,IRS,,ZAR,0.0657431939,IRS,BaseInitialMargin,-58295332.55
